date,kospi_close,score,bias,macro,korea,earnings,flows,valuation,technical
2026-01-19,4904.66,62.3,중립-강세,61.0,51.4,66.7,63.9,4.8,95.5
2026-01-20,4885.75,59.9,중립-강세,47.4,51.0,66.7,65.4,4.6,96.5
2026-01-21,4909.93,61.9,중립-강세,54.7,48.3,66.7,70.2,4.6,96.0
2026-01-22,4952.53,62.8,중립-강세,62.8,52.4,66.7,64.4,4.3,95.3
2026-01-23,4990.07,62.3,중립-강세,63.5,52.1,66.7,62.9,3.9,93.8
2026-01-26,4949.59,60.5,중립-강세,60.5,54.7,66.7,55.9,4.7,92.5
2026-01-27,5084.85,60.8,중립-강세,60.5,55.8,66.7,59.0,2.8,91.0
2026-01-28,5170.81,61.9,중립-강세,59.4,67.3,66.7,57.6,2.1,91.0
2026-01-29,5221.25,62.2,중립-강세,61.2,77.5,66.7,49.0,2.0,91.9
2026-01-30,5224.36,58.8,중립-강세,61.6,70.6,66.7,35.4,1.9,92.9
2026-02-02,4949.67,55.0,중립,57.1,68.0,71.3,23.2,4.6,88.1
2026-02-03,5288.08,54.5,중립,52.4,64.1,66.7,27.5,1.4,93.9
2026-02-04,5371.1,55.2,중립,51.9,68.3,66.7,27.5,1.0,94.7
2026-02-05,5163.57,51.8,중립,41.8,67.0,68.9,24.4,2.8,89.5
2026-02-06,5089.14,51.3,중립,47.9,58.5,71.7,23.6,3.3,85.9
2026-02-09,5298.04,54.6,중립,56.7,65.0,67.9,26.2,1.8,89.5
2026-02-10,5301.69,56.2,중립,61.0,67.4,69.6,26.4,2.1,89.6
2026-02-11,5354.49,57.1,중립-강세,63.1,68.8,69.3,27.6,1.7,90.7
2026-02-12,5522.27,60.6,중립-강세,56.3,69.8,67.4,50.2,1.3,92.9
2026-02-13,5507.01,62.4,중립-강세,61.4,64.9,68.7,55.7,1.7,93.7
2026-02-19,5677.25,63.0,중립-강세,64.0,71.0,66.7,52.1,0.8,95.1
2026-02-20,5808.53,60.4,중립-강세,64.2,54.2,66.7,50.7,0.2,96.4
2026-02-23,5846.09,59.2,중립-강세,56.4,64.0,66.7,44.5,0.4,97.0
2026-02-24,5969.64,57.4,중립-강세,58.6,57.6,66.7,37.6,0.0,97.6
2026-02-25,6083.86,56.5,중립,60.8,48.7,66.7,36.9,0.0,98.1
2026-02-26,6307.27,57.3,중립-강세,63.0,51.0,66.7,36.3,0.0,98.8
2026-02-27,6244.13,55.3,중립,59.5,50.1,66.7,30.3,0.1,99.1
2026-03-03,5791.91,51.8,중립,51.9,43.2,71.4,29.8,1.0,90.9
2026-03-04,5093.54,42.4,중립-약세,45.7,34.7,86.5,29.7,5.5,42.9
2026-03-05,5583.9,48.7,중립,49.2,40.5,76.8,28.7,1.6,77.0
2026-03-06,5584.87,43.5,중립,34.7,36.0,70.5,29.8,1.6,72.2
2026-03-09,5251.87,41.3,중립-약세,38.2,39.7,84.6,26.7,3.9,46.3
2026-03-10,5532.59,49.2,중립,42.8,47.8,80.8,36.9,2.0,68.8
2026-03-11,5609.95,47.1,중립,36.6,42.3,74.8,38.1,1.1,72.4
2026-03-12,5583.25,42.7,중립-약세,23.8,41.3,73.8,33.2,1.0,69.9
2026-03-13,5487.24,43.1,중립,20.6,49.4,80.2,31.5,1.8,65.4
2026-03-16,5549.85,44.0,중립,24.5,42.8,79.0,35.7,1.6,67.6
2026-03-17,5640.48,43.2,중립,27.1,35.9,78.3,32.5,1.0,70.4
2026-03-18,5925.03,43.6,중립,19.5,34.9,76.3,33.2,0.3,81.7
2026-03-19,5763.22,44.8,중립,19.7,39.7,79.1,33.7,0.7,80.9
2026-03-20,5781.2,42.1,중립-약세,10.4,35.8,82.1,32.2,0.7,79.3
2026-03-23,5405.75,36.7,중립-약세,13.4,43.8,91.4,23.3,2.5,44.2
2026-03-24,5553.92,35.7,중립-약세,10.1,46.0,88.8,21.0,1.5,45.8
2026-03-25,5642.21,38.0,중립-약세,16.2,52.0,89.3,18.5,1.0,48.9
2026-03-26,5460.46,35.8,중립-약세,6.1,50.3,94.3,17.1,2.1,46.4
2026-03-27,5438.87,35.3,중립-약세,1.2,50.0,98.0,16.7,2.1,46.3
2026-03-30,5277.3,35.3,중립-약세,5.2,50.0,99.8,17.1,3.9,39.7
2026-03-31,5052.46,37.5,중립-약세,23.1,51.3,97.1,18.6,6.6,31.1
2026-04-01,5478.7,40.6,중립-약세,19.6,55.8,75.8,21.2,2.4,62.4
2026-04-02,5234.05,36.8,중립-약세,27.4,38.7,90.3,21.4,4.7,35.9
2026-04-03,5377.3,36.9,중립-약세,27.4,24.5,87.7,28.6,3.4,42.9
2026-04-06,5450.33,39.7,중립-약세,23.2,22.0,79.8,33.6,2.6,64.2
2026-04-07,5494.78,41.1,중립-약세,26.3,25.8,84.4,41.2,2.2,54.3
2026-04-08,5872.34,52.9,중립,47.1,33.3,78.9,49.1,0.5,84.0
2026-04-09,5778.01,54.5,중립,52.9,32.1,80.2,53.5,0.8,81.5
2026-04-10,5858.87,55.7,중립,54.3,33.3,76.8,56.0,0.5,85.3
2026-04-13,5808.62,57.4,중립-강세,62.1,34.6,79.1,55.0,0.8,84.3
2026-04-14,5967.75,59.7,중립-강세,66.3,39.2,78.6,56.8,0.3,87.1
2026-04-15,6091.39,60.2,중립-강세,71.6,39.9,81.8,52.1,0.2,85.9
2026-04-16,6226.05,59.3,중립-강세,68.1,39.4,76.3,51.4,0.2,90.0
2026-04-17,6191.92,59.4,중립-강세,73.5,42.1,77.2,45.2,0.3,88.6
2026-04-20,6219.09,60.5,중립-강세,75.6,49.1,68.8,50.4,0.2,87.7
2026-04-21,6388.47,60.2,중립-강세,68.9,51.6,68.7,53.0,0.0,88.9
2026-04-22,6417.93,61.1,중립-강세,76.4,52.0,70.0,48.8,0.0,88.9
2026-04-23,6475.81,59.6,중립-강세,74.1,48.2,66.7,48.2,0.0,89.5
2026-04-24,6475.63,60.9,중립-강세,78.3,49.9,66.7,48.9,0.0,90.0
2026-04-27,6615.03,63.4,중립-강세,83.2,50.8,66.7,54.6,0.0,91.0
2026-04-28,6641.02,61.6,중립-강세,76.8,50.2,66.7,52.0,0.0,91.5
2026-04-29,6690.9,59.8,중립-강세,70.6,50.7,66.7,50.2,0.0,90.5
2026-04-30,6598.87,59.7,중립-강세,77.6,49.8,66.7,46.3,0.2,87.0
2026-05-04,6936.99,64.6,중립-강세,73.6,49.3,75.9,66.5,0.4,88.6
2026-05-06,7384.56,67.2,강세,76.7,60.6,70.4,70.9,0.0,90.0
2026-05-07,7490.05,61.4,중립-강세,72.0,59.2,69.7,49.3,0.0,88.8
2026-05-08,7498.0,59.9,중립-강세,73.3,59.2,77.1,35.6,0.0,88.3
2026-05-11,7822.24,56.3,중립,65.3,53.1,70.4,35.5,0.0,88.0
2026-05-12,7643.15,54.2,중립,55.7,51.4,74.6,31.7,0.1,88.9
