entry_lookback,ma_trend,vol_mult,rsi_min,init_stop_atr,trail_atr,max_hold,train_trades,train_winrate,train_expect,train_payoff,train_return,train_cagr,test_trades,test_winrate,test_expect,test_payoff,test_return,test_cagr,test_mdd,test_avghold,train_obj,test_obj
20,150,1.3,50,2.5,4.5,30,928,39.5,-0.03,1.52,-25.9,-4.5,1098,37.2,1.08,2.02,104.1,11.4,-16.2,14.3,-0.2593722824860826,1.0410092571376444
20,120,1.3,45,1.5,2.5,30,1223,26.9,-1.81,1.3,-14.6,-2.4,1448,30.8,-1.08,1.59,9.7,1.4,-2.7,5.4,-0.14582415515027924,0.09730826396002135
120,60,1.0,45,2.0,4.5,30,627,34.4,-0.25,1.81,12.7,1.8,872,34.1,1.05,2.31,11.1,1.6,-20.9,12.1,0.12738005965803945,0.11079569467090833
20,60,1.6,45,2.5,3.5,60,957,31.3,-1.88,1.39,-41.3,-7.8,1107,35.7,-0.46,1.65,-18.8,-3.0,-26.3,11.8,-0.4125043914343368,-0.1883516066085429
20,150,1.0,55,2.0,2.5,30,1221,29.9,-1.74,1.25,-19.9,-3.3,1502,33.6,-1.04,1.45,-9.4,-1.5,-20.0,6.7,-0.19883880795302744,-0.09438864578542672
120,120,1.6,50,2.5,3.5,30,539,32.7,-1.81,1.35,-12.6,-2.0,685,38.4,-0.04,1.59,-16.1,-2.6,-31.9,11.1,-0.12597177913442403,-0.16088903163305135
40,150,1.6,55,2.0,3.5,60,753,29.5,-1.55,1.6,-24.3,-4.2,830,33.6,-0.3,1.86,-12.3,-2.2,-26.1,10.0,-0.2434221319239509,-0.12250150326106435
55,60,1.0,55,2.0,2.5,60,947,29.3,-1.96,1.15,-30.5,-5.4,1292,31.6,-1.57,1.37,-5.0,-0.8,-6.2,6.3,-0.3050187435417562,-0.05040525383426697
20,60,1.3,45,2.0,2.5,30,1208,27.7,-2.09,1.2,-28.5,-5.0,1489,32.0,-1.41,1.38,-4.3,-0.6,-9.2,6.4,-0.28501404969323807,-0.043051993478949724
55,120,1.0,45,2.5,3.5,60,740,33.1,-1.26,1.5,-32.3,-5.8,933,37.2,0.09,1.72,-12.4,-1.9,-29.8,11.9,-0.3225920049803027,-0.12390426423721723
40,120,1.0,55,2.5,2.5,60,967,30.0,-1.93,1.13,-22.4,-3.8,1221,34.3,-1.36,1.3,-10.3,-1.6,-10.7,6.8,-0.22438390796579366,-0.10279903444728755
55,60,1.6,50,2.5,2.5,60,805,27.8,-2.53,1.02,-26.8,-4.7,1002,30.6,-2.19,1.19,-16.2,-2.6,-16.4,6.5,-0.2681168461282478,-0.1617558876773869
55,60,1.6,55,2.5,4.5,60,661,32.2,-1.23,1.66,-29.5,-5.2,827,33.9,0.14,2.0,-19.2,-3.1,-33.0,15.0,-0.2954087305351152,-0.19157317783537653
40,150,1.6,45,2.5,2.5,30,834,28.2,-2.31,1.09,-24.2,-4.1,929,32.1,-1.91,1.21,-31.1,-6.0,-34.2,6.4,-0.24169800772104166,-0.31077174296664445
40,60,1.0,50,2.0,2.5,60,1032,29.3,-2.02,1.13,-29.3,-5.2,1374,32.0,-1.54,1.34,-0.4,-0.1,-3.9,6.4,-0.2928304436650374,-0.004101386174973798
40,150,1.6,55,1.5,4.5,60,737,28.0,-0.44,2.32,-1.7,-0.3,840,28.1,0.6,2.88,-3.9,-0.7,-6.2,10.1,-0.016896967318607903,-0.03930134351930503
55,150,1.3,50,2.0,2.5,60,816,28.7,-2.03,1.15,-17.5,-2.9,985,31.3,-1.64,1.38,-16.9,-3.1,-22.0,6.0,-0.1748357877384472,-0.16908957497940758
20,120,1.6,45,1.5,2.5,30,1122,26.5,-1.95,1.26,-10.9,-1.7,1239,30.5,-1.3,1.5,9.7,1.4,-2.7,5.2,-0.10871534101612601,0.09730826396002135
40,150,1.3,45,2.5,4.5,30,742,39.4,-0.24,1.47,-25.6,-4.4,872,37.3,0.99,1.97,5.1,0.8,-20.3,13.7,-0.2556509006076233,0.051267529572354587
40,60,1.3,45,1.5,4.5,60,852,26.9,-0.58,2.36,-25.5,-4.4,1111,27.6,0.32,2.8,1.8,0.3,-2.4,10.0,-0.25544881280552,0.01790590621104471
55,60,1.0,55,2.5,3.5,30,837,34.2,-1.55,1.31,-21.0,-3.5,1092,36.0,-0.52,1.61,1.9,0.3,-19.9,11.1,-0.20962305270824455,0.01898804691654221
20,60,1.3,45,2.5,4.5,60,945,33.3,-1.01,1.63,-35.1,-6.4,1150,35.9,0.85,2.05,50.1,6.2,-14.0,16.0,-0.350646959281968,0.5012250449991331
55,150,1.6,55,1.5,2.5,30,772,26.6,-1.98,1.23,-11.4,-1.8,878,28.2,-1.69,1.49,-11.5,-2.1,-14.6,4.8,-0.11409615804478568,-0.11473223575772984
40,150,1.6,55,1.5,3.5,30,807,27.0,-1.33,1.82,-15.8,-2.6,887,29.5,-0.45,2.14,-6.0,-1.0,-6.9,7.5,-0.15810392500616466,-0.060139660584920485
40,120,1.6,45,2.0,4.5,60,703,31.4,-0.63,1.91,-17.4,-2.9,824,32.9,0.55,2.24,-1.1,-0.2,-20.2,12.8,-0.17382941208082459,-0.010578600878016431
120,60,1.6,50,1.5,3.5,30,610,26.9,-1.41,1.82,-15.7,-2.6,803,27.9,-0.67,2.22,-0.9,-0.1,-3.4,7.3,-0.15695813099892042,-0.00853056362470872
40,60,1.6,45,2.0,3.5,30,825,29.6,-1.85,1.47,-39.8,-7.5,983,32.6,-0.97,1.68,-19.6,-3.2,-22.6,9.4,-0.3983349304176389,-0.19584546755749677
40,120,1.6,50,1.5,2.5,60,868,25.9,-2.07,1.2,-15.0,-2.4,1006,28.9,-1.67,1.43,-0.9,-0.1,-4.7,4.9,-0.14967967763506895,-0.008956442318224678
20,150,1.3,55,2.0,3.5,30,1031,32.8,-1.21,1.5,-20.3,-3.4,1202,35.4,-0.01,1.82,-4.9,-0.8,-29.1,10.0,-0.20262556494406736,-0.049226307589199214
120,150,1.0,45,1.5,2.5,60,688,27.2,-1.71,1.37,-6.8,-1.1,981,31.3,-1.04,1.61,9.2,1.5,-3.0,5.3,-0.0682321881612562,0.09193004402758564
55,120,1.3,45,1.5,4.5,30,739,29.5,-0.33,2.21,2.1,0.3,942,28.2,0.49,2.8,0.8,0.1,-3.6,9.0,0.021322172657414207,0.007810212521288218
55,60,1.6,50,2.0,4.5,30,713,31.4,-0.9,1.81,-14.0,-2.3,883,31.5,0.11,2.22,-23.4,-3.8,-32.3,11.6,-0.13958790653941966,-0.23375943716466596
55,150,1.6,45,2.5,4.5,30,629,37.8,-0.43,1.51,-15.7,-2.6,700,36.4,0.97,2.03,4.6,0.8,-33.6,13.9,-0.157333659735316,0.046242932402717596
120,150,1.6,55,2.5,4.5,60,455,34.1,-0.34,1.82,-23.0,-3.9,589,36.7,1.3,2.09,-4.5,-0.9,-22.3,15.8,-0.22953260304640266,-0.04516897128072794
20,150,1.3,50,2.5,3.5,30,991,36.3,-1.08,1.35,-30.5,-5.4,1164,38.0,0.11,1.67,32.6,4.4,-18.6,11.5,-0.3053984345392142,0.32558669821489183
40,60,1.6,50,1.5,2.5,30,915,25.5,-2.16,1.2,-11.7,-1.9,1125,27.6,-1.88,1.38,-0.9,-0.1,-1.4,4.9,-0.11747000117156003,-0.008618061573294589
40,150,1.3,50,1.5,4.5,30,817,30.6,-0.27,2.12,7.1,1.1,973,28.7,0.6,2.81,-3.0,-0.5,-5.1,9.1,0.07103310936121576,-0.02964617076647169
20,150,1.3,45,2.0,2.5,60,1141,28.9,-1.9,1.23,-18.0,-3.0,1354,32.9,-1.19,1.43,-21.8,-3.6,-31.7,6.5,-0.18041638483711597,-0.2176635259249261
20,120,1.6,55,2.5,2.5,30,1067,29.5,-2.1,1.12,-29.7,-5.2,1186,34.1,-1.52,1.24,-17.8,-2.9,-20.5,6.8,-0.29667147763053814,-0.17836982895459863
20,150,1.6,50,2.5,4.5,60,820,36.2,-0.19,1.7,-11.5,-1.8,936,36.6,1.13,2.07,47.6,6.1,-14.4,15.8,-0.11493233094682409,0.47584941851747775
20,150,1.6,50,2.0,4.5,60,870,31.6,-0.63,1.89,-10.9,-1.7,972,33.6,1.09,2.37,18.6,2.6,-18.4,13.6,-0.10897600495411441,0.1858434160706226
120,60,1.3,45,2.0,2.5,30,697,28.3,-2.13,1.15,-14.9,-2.4,975,32.5,-1.52,1.35,-1.9,-0.3,-4.1,6.1,-0.14863893500586045,-0.01876986977471351
20,60,1.0,45,2.5,3.5,30,1124,33.9,-1.58,1.31,-49.7,-10.0,1382,36.8,-0.19,1.65,-9.1,-1.4,-25.3,11.6,-0.4971386926507114,-0.09147288956287014
20,120,1.3,50,1.5,2.5,60,1213,26.7,-1.81,1.32,-14.6,-2.4,1443,30.9,-1.05,1.6,9.7,1.4,-2.7,5.5,-0.14582415515027924,0.09730826396002135
55,150,1.3,55,2.5,4.5,30,669,39.6,-0.23,1.46,-9.3,-1.5,789,37.4,1.02,1.96,-15.7,-2.9,-33.2,13.8,-0.09325328611790573,-0.1567022391201094
120,120,1.6,55,1.5,2.5,30,618,24.9,-2.17,1.27,-14.9,-2.4,809,29.5,-1.57,1.47,-0.7,-0.1,-4.1,4.9,-0.14885835610967524,-0.006722924419122367
120,60,1.3,50,2.0,4.5,60,566,32.2,-0.28,2.0,-28.9,-5.1,788,32.4,0.89,2.42,1.8,0.3,-17.2,13.2,-0.289322351792336,0.018045210076005125
20,150,1.6,45,2.0,4.5,60,870,31.6,-0.63,1.89,-10.9,-1.7,972,33.6,1.09,2.37,18.6,2.6,-18.4,13.6,-0.10897600495411441,0.1858434160706226
120,60,1.6,55,2.0,4.5,60,530,31.3,-0.42,2.03,-36.4,-6.7,714,31.5,0.39,2.32,-6.0,-0.9,-19.1,13.1,-0.36361761751906896,-0.06038658248565609
40,150,1.3,55,1.5,3.5,60,846,26.5,-1.22,1.94,-14.3,-2.3,1010,29.5,-0.32,2.22,3.4,0.6,-3.8,7.7,-0.1425216013105104,0.03378276978095629
40,150,1.0,50,1.5,2.5,60,1003,27.1,-1.78,1.3,-12.8,-2.1,1242,30.5,-1.21,1.56,6.3,1.0,-2.8,5.3,-0.1283482005222687,0.06278122211724635
40,120,1.0,50,1.5,4.5,60,841,28.3,-0.3,2.36,-15.2,-2.5,1058,29.5,0.96,2.89,-2.0,-0.3,-2.9,10.2,-0.1520512576432682,-0.020365985086820637
20,60,1.6,55,1.5,3.5,30,1072,26.1,-1.61,1.74,-28.7,-5.0,1233,28.1,-0.66,2.17,6.5,0.9,-4.4,7.6,-0.28737898777056503,0.06547718077499409
55,150,1.0,55,2.0,4.5,30,730,36.0,-0.23,1.69,35.8,4.8,897,34.0,1.09,2.33,25.3,3.9,-20.8,11.8,0.35781855689890607,0.25250174861935526
120,120,1.6,45,2.0,4.5,60,502,30.1,-0.44,2.14,-10.3,-1.6,663,33.0,0.74,2.29,7.0,1.0,-18.4,13.1,-0.10303625037962272,0.06988707710195863
55,120,1.0,55,2.5,4.5,30,721,38.7,-0.36,1.47,-7.2,-1.1,893,38.6,1.08,1.88,-15.0,-2.4,-33.8,13.9,-0.07185184081678841,-0.15036827820823828
20,150,1.3,55,2.0,3.5,60,993,31.2,-1.22,1.62,-19.2,-3.2,1174,35.3,0.11,1.88,2.3,0.3,-27.8,10.7,-0.19203104944203686,0.022916847380290983
120,60,1.6,55,2.5,4.5,60,513,33.5,-0.71,1.75,-38.8,-7.2,688,34.7,0.42,2.0,-20.5,-3.3,-43.5,15.2,-0.38791357912607294,-0.2045939117069583
55,120,1.6,50,2.0,4.5,60,626,30.7,-0.73,1.94,-8.7,-1.4,757,32.6,0.56,2.27,-5.9,-0.9,-22.7,12.8,-0.08704916246706618,-0.05915983548851256
20,150,1.6,55,2.0,4.5,60,869,31.6,-0.63,1.89,-10.9,-1.7,972,33.6,1.07,2.37,18.6,2.6,-18.4,13.6,-0.10897600495411441,0.1858434160706226
120,120,1.6,45,2.0,3.5,30,553,30.2,-1.68,1.53,-18.5,-3.1,708,34.9,-0.13,1.82,-22.2,-3.7,-24.4,9.7,-0.185070784627563,-0.22236254308065717
20,60,1.3,45,2.0,3.5,30,1098,30.8,-1.61,1.46,-45.6,-8.9,1321,33.6,-0.45,1.79,-12.8,-2.0,-14.5,9.9,-0.45642896971279423,-0.12769509926285783
20,60,1.0,45,2.0,3.5,60,1127,29.5,-1.54,1.6,-19.5,-3.3,1399,33.8,-0.21,1.87,-11.9,-1.8,-13.7,10.7,-0.19511592563024538,-0.1190259060253337
40,60,1.6,50,2.5,3.5,30,802,32.0,-2.07,1.27,-41.4,-7.8,951,35.5,-0.92,1.51,-23.5,-3.9,-26.4,10.6,-0.41361682196786176,-0.23508325074420333
40,60,1.3,55,2.5,3.5,30,864,33.6,-1.78,1.27,-44.1,-8.5,1081,36.0,-0.81,1.51,-12.4,-1.9,-19.4,10.8,-0.4407180167377056,-0.12360567649485743
55,120,1.3,50,2.0,3.5,30,751,31.2,-1.33,1.56,-7.9,-1.2,924,33.7,-0.4,1.82,-25.3,-4.2,-25.6,9.4,-0.07857679379922766,-0.25324057295252034
120,150,1.6,55,2.5,2.5,60,569,27.9,-2.44,1.09,-24.3,-4.2,716,33.0,-1.69,1.28,-24.0,-5.0,-24.5,6.7,-0.2434146190830241,-0.23997977835760143
20,60,1.6,55,2.5,3.5,60,957,31.3,-1.88,1.39,-41.3,-7.8,1107,35.7,-0.46,1.65,-18.8,-3.0,-26.3,11.8,-0.4125043914343368,-0.1883516066085429
55,60,1.3,55,2.0,2.5,60,892,28.3,-2.13,1.13,-23.4,-4.0,1171,30.8,-1.76,1.33,-5.0,-0.8,-6.2,6.1,-0.23350527472111116,-0.05040525383426697
55,120,1.6,45,1.5,2.5,60,769,25.7,-2.09,1.21,-17.7,-2.9,926,28.1,-1.75,1.48,-0.2,-0.0,-4.7,4.8,-0.17690357813892665,-0.0019389875449342675
40,120,1.0,50,2.5,4.5,30,798,40.2,-0.24,1.42,12.5,1.8,973,38.7,1.03,1.86,2.8,0.4,-23.0,13.7,0.12532334418439017,0.0283058768708917
40,120,1.3,55,1.5,3.5,60,853,25.9,-1.2,2.0,-12.1,-2.0,1057,29.6,-0.36,2.19,-1.1,-0.2,-2.9,7.7,-0.12111463237139941,-0.010844756066015537
40,60,1.0,50,2.0,4.5,30,891,32.9,-0.79,1.72,-10.4,-1.7,1138,33.6,0.57,2.19,-8.4,-1.3,-22.0,11.8,-0.1037325009887703,-0.08430932817991321
55,120,1.6,50,2.5,2.5,30,747,27.7,-2.38,1.06,-32.4,-5.8,884,32.4,-1.99,1.2,-30.4,-5.2,-33.4,6.4,-0.3240736465805052,-0.3042031214367784
55,60,1.3,55,1.5,2.5,30,916,27.1,-1.88,1.24,-17.3,-2.9,1226,28.1,-1.56,1.54,5.1,0.7,-1.4,4.9,-0.17263696560449693,0.05128141487241944
55,60,1.6,45,2.0,4.5,60,683,29.9,-0.91,1.94,-22.2,-3.8,864,30.3,0.05,2.32,-13.4,-2.1,-28.6,12.9,-0.22228459137066003,-0.13386719194105412
20,150,1.0,45,2.5,3.5,30,1047,36.7,-1.02,1.34,-27.7,-4.8,1263,38.7,0.32,1.69,-6.3,-1.0,-26.2,11.8,-0.27741252778019077,-0.06308302249096653
20,60,1.3,50,2.0,2.5,30,1208,27.7,-2.09,1.2,-28.5,-5.0,1489,32.0,-1.41,1.38,-4.3,-0.6,-9.2,6.4,-0.28501404969323807,-0.043051993478949724
120,60,1.6,45,1.5,3.5,60,601,26.0,-1.45,1.89,-15.7,-2.6,796,27.6,-0.6,2.29,5.2,0.7,-2.7,7.7,-0.15695813099892042,0.05172478999473351
40,120,1.0,45,1.5,3.5,30,930,28.1,-1.04,1.88,-12.8,-2.1,1155,30.4,-0.26,2.15,-0.4,-0.1,-2.9,7.6,-0.12789132058371488,-0.004253381959705593
55,120,1.0,55,1.5,2.5,30,909,27.5,-1.74,1.27,-11.3,-1.8,1199,30.4,-1.24,1.57,4.3,0.6,-2.7,5.1,-0.11281661432309464,0.04285624528359033
40,120,1.6,50,1.5,3.5,30,807,27.1,-1.22,1.87,-7.2,-1.1,926,29.8,-0.44,2.12,-1.2,-0.2,-4.8,7.4,-0.07225128407956272,-0.012213587791846559
120,60,1.3,45,2.5,3.5,30,617,33.9,-1.62,1.33,-26.8,-4.6,834,37.8,-0.26,1.57,-8.8,-1.3,-35.9,11.1,-0.26765476586358405,-0.08753515379616805
120,60,1.3,55,2.0,3.5,60,620,29.7,-1.63,1.57,-28.9,-5.1,848,33.4,-0.24,1.9,9.7,1.4,-12.4,10.1,-0.2892042630417463,0.09690668652807188
20,60,1.0,50,2.5,2.5,30,1277,28.9,-2.08,1.17,-39.1,-7.3,1610,33.6,-1.23,1.38,-7.2,-1.1,-10.6,7.1,-0.39108332248258026,-0.07232659119390361
120,60,1.0,50,1.5,2.5,60,760,27.0,-1.78,1.33,-19.4,-3.2,1121,30.0,-1.29,1.57,7.5,1.1,-3.4,5.2,-0.1936685842695075,0.07477502240017064
20,60,1.3,55,2.0,2.5,60,1201,27.6,-2.09,1.21,-28.5,-5.0,1480,32.0,-1.39,1.4,-4.7,-0.7,-9.5,6.5,-0.28501404969323807,-0.04690356687386632
20,60,1.6,50,2.5,3.5,60,957,31.3,-1.88,1.39,-41.3,-7.8,1107,35.7,-0.46,1.65,-18.8,-3.0,-26.3,11.8,-0.4125043914343368,-0.1883516066085429
40,60,1.6,45,1.5,4.5,30,824,26.6,-0.72,2.31,-1.6,-0.2,997,28.0,0.11,2.63,-0.1,-0.0,-4.5,9.0,-0.016130079939343234,-0.001407000161685934
120,60,1.6,55,2.5,2.5,60,634,27.9,-2.54,1.03,-30.2,-5.4,829,31.6,-2.0,1.23,-24.6,-4.1,-24.6,6.6,-0.30226759455782637,-0.24619650367914403
40,120,1.6,55,1.5,2.5,60,868,25.9,-2.07,1.2,-15.0,-2.4,1006,28.9,-1.67,1.43,-0.9,-0.1,-4.7,4.9,-0.14967967763506895,-0.008956442318224678
55,150,1.0,50,2.5,2.5,30,863,30.5,-1.9,1.14,-21.4,-3.6,1086,33.1,-1.43,1.36,-19.1,-3.5,-26.7,6.7,-0.2138725791174827,-0.19050257376962987
120,120,1.6,45,1.5,4.5,60,529,26.3,-0.31,2.62,-10.2,-1.6,708,28.2,0.67,2.88,-1.1,-0.2,-6.8,10.1,-0.10180958529004025,-0.011053024827827551
40,150,1.6,50,2.5,4.5,30,699,37.9,-0.46,1.5,-27.7,-4.8,777,36.6,0.92,2.01,8.4,1.4,-21.6,13.7,-0.277220419720154,0.08444120937403232
55,120,1.3,55,1.5,4.5,30,739,29.5,-0.33,2.21,2.1,0.3,942,28.2,0.49,2.8,0.8,0.1,-3.6,9.0,0.021322172657414207,0.007810212521288218
40,150,1.0,55,2.5,3.5,30,844,35.7,-1.23,1.33,-25.3,-4.4,1008,37.3,-0.16,1.63,3.7,0.6,-18.2,11.1,-0.25308671132394667,0.03685120678298892
120,60,1.0,45,2.5,2.5,60,733,29.7,-2.02,1.14,-24.3,-4.2,1046,34.1,-1.26,1.36,-17.5,-2.8,-20.0,6.8,-0.24313702882750376,-0.1754495815709617
40,60,1.6,50,2.0,4.5,30,787,30.5,-1.12,1.79,-29.8,-5.3,940,33.1,0.23,2.11,-19.9,-3.2,-28.5,11.6,-0.2983531223371597,-0.19928970931937884
55,120,1.6,55,2.5,4.5,60,600,34.0,-0.57,1.74,-26.3,-4.6,723,36.0,0.71,1.98,4.2,0.6,-29.6,15.0,-0.2634791109576178,0.04233607557560126
20,150,1.0,45,2.5,4.5,60,905,37.3,0.17,1.73,-2.6,-0.4,1119,37.0,1.43,2.14,8.6,1.3,-22.6,16.4,-0.026022817997793712,0.0858366350543518
20,120,1.3,55,2.0,2.5,30,1174,29.1,-1.88,1.2,-34.0,-6.1,1393,33.5,-1.21,1.39,-9.1,-1.4,-12.9,6.4,-0.33976451701328314,-0.09066451902800876
40,60,1.3,45,2.0,3.5,60,873,29.3,-1.72,1.53,-28.5,-5.0,1101,32.4,-0.77,1.77,28.0,3.7,-17.0,9.9,-0.2846346404934825,0.27963660922109757
40,60,1.0,45,2.5,2.5,30,1029,29.6,-2.14,1.08,-28.6,-5.0,1361,32.5,-1.59,1.3,-11.8,-1.8,-12.8,6.7,-0.28562839207994484,-0.11828425250356567
55,150,1.3,55,2.5,4.5,60,629,37.2,-0.2,1.63,8.5,1.3,754,35.9,1.24,2.15,3.9,0.7,-25.8,15.5,0.08544190023043119,0.03899134870763454
40,120,1.0,45,2.5,2.5,60,967,30.0,-1.93,1.13,-22.4,-3.8,1221,34.3,-1.36,1.3,-10.3,-1.6,-10.7,6.8,-0.22438390796579366,-0.10279903444728755
120,150,1.0,50,1.5,3.5,30,625,28.6,-0.96,1.91,4.1,0.6,875,30.3,0.23,2.42,25.1,3.9,-8.3,7.7,0.041151831896787616,0.25132874796501325
40,120,1.0,55,2.0,4.5,60,791,33.2,-0.32,1.88,57.5,7.2,974,33.9,1.05,2.34,73.4,8.5,-18.3,13.1,0.5753230820270241,0.7341129255914747
40,60,1.3,55,1.5,3.5,30,927,27.3,-1.39,1.75,-21.2,-3.6,1194,28.6,-0.72,2.1,4.9,0.7,-2.3,7.3,-0.21172223438409643,0.04850259483210029
20,60,1.3,50,1.5,4.5,60,1071,25.5,-0.82,2.38,-30.7,-5.4,1305,27.8,0.55,2.9,3.8,0.5,-4.5,10.5,-0.3066685230934787,0.0379542215966433
120,60,1.3,45,1.5,3.5,30,660,27.6,-1.24,1.84,-14.6,-2.4,929,28.6,-0.38,2.28,2.9,0.4,-3.3,7.4,-0.14611131654465925,0.028628938234224632
20,60,1.6,55,2.0,2.5,30,1111,27.1,-2.33,1.14,-24.9,-4.3,1295,31.0,-1.75,1.3,-6.8,-1.0,-9.2,6.3,-0.24940455896146185,-0.06842423865340086
