rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,028670,팬오션,6320.0,84.4,88.2,57.6,98.5,100.0,89.9,64.5,19.7,-4.2,watch,5624.41,4754.93
2,011200,HMM,22850.0,71.0,33.2,15.8,27.7,92.8,96.7,62.8,5.5,-8.4,watch,20861.43,18375.71
3,161890,한국콜마,143300.0,63.9,100.0,95.1,100.0,34.2,56.3,72.9,43.0,-0.5,watch,125303.93,102808.85
4,001450,현대해상,50600.0,63.8,92.2,96.1,100.0,31.9,58.0,72.5,25.4,-0.4,watch,45345.45,38777.25
5,278470,에이피알,409500.0,63.4,81.7,0.0,78.4,57.7,98.6,61.6,15.7,-13.4,watch,358493.15,294734.58
6,006400,삼성SDI,515000.0,62.3,63.0,0.0,100.0,74.3,89.2,59.3,20.3,-28.8,watch,447692.63,363558.41
7,003230,삼양식품,1404000.0,61.7,43.7,46.1,100.0,29.9,89.2,64.7,22.0,-5.4,watch,1249828.41,1057113.92
8,021240,코웨이,97500.0,61.6,45.4,58.7,31.0,36.5,80.1,57.0,6.2,-4.1,watch,88407.02,77040.8
9,078930,GS,114600.0,61.5,100.0,45.5,100.0,34.4,78.2,67.4,20.3,-5.4,watch,99360.67,80311.51
10,017670,SK텔레콤,102300.0,61.1,93.6,0.0,11.5,45.9,99.7,62.1,2.3,-26.7,watch,88787.77,71897.48
11,051900,LG생활건강,316000.0,59.5,65.5,41.9,100.0,20.3,88.4,64.9,27.2,-5.8,watch,286588.42,249823.95
12,008930,한미사이언스,56500.0,57.6,63.6,100.0,100.0,100.0,9.1,84.7,63.3,14.1,watch,49966.75,41800.19
13,005830,DB손해보험,180500.0,57.1,59.5,0.0,37.5,39.5,98.5,62.4,7.5,-15.5,watch,162492.15,139982.33
14,085620,미래에셋생명,26100.0,56.6,100.0,0.0,100.0,80.6,67.3,70.2,64.2,-30.0,watch,22051.4,16990.64
15,096770,SK이노베이션,130100.0,55.8,42.5,0.0,0.0,49.9,93.6,60.4,0.0,-16.3,watch,114863.82,95818.6
16,090430,아모레퍼시픽,139900.0,55.4,31.9,0.0,92.8,37.1,98.6,62.4,18.6,-11.7,watch,128035.22,113204.26
17,009420,한올바이오파마,59800.0,53.7,49.1,0.0,100.0,59.3,79.8,56.9,28.3,-18.1,watch,50502.83,38881.37
18,192820,코스맥스,286000.0,53.4,80.2,100.0,100.0,67.9,14.3,83.4,60.3,4.4,watch,254024.33,214054.75
19,003550,LG,113500.0,51.3,59.5,0.0,79.7,38.6,84.7,58.2,15.9,-38.9,watch,102167.76,88002.46
20,088350,한화생명,5240.0,51.2,70.9,0.0,70.8,30.8,87.1,58.8,14.2,-17.5,watch,4625.19,3856.68
21,005935,삼성전자우,189300.0,49.5,92.1,0.0,34.4,73.3,58.1,51.5,6.9,-22.3,watch,158470.44,119933.49
22,007340,DN오토모티브,47800.0,47.9,100.0,0.0,100.0,54.3,61.8,52.4,22.9,-29.2,watch,38441.0,26742.25
23,006360,GS건설,33900.0,44.9,97.8,0.0,60.3,18.1,76.0,56.0,12.1,-24.4,watch,28089.12,20825.52
24,066570,LG전자,199800.0,44.6,100.0,0.0,90.4,26.6,69.6,54.4,18.1,-54.4,watch,171251.42,135565.69
25,010060,OCI홀딩스,269000.0,44.6,100.0,0.0,38.0,19.6,74.7,55.7,7.6,-35.0,watch,212193.68,141185.79
26,010950,S-Oil,141200.0,42.5,100.0,0.0,0.0,22.8,69.2,54.3,-6.6,-20.3,watch,122619.78,99394.5
27,018260,삼성에스디에스,228000.0,41.7,78.4,0.0,44.2,24.7,68.4,54.1,8.8,-41.3,watch,200027.92,165062.81
28,028260,삼성물산,364500.0,39.1,40.6,0.0,32.9,50.5,54.6,50.6,6.6,-35.5,watch,303877.7,228099.83
29,005930,삼성전자,257000.0,38.9,71.6,0.0,15.0,52.4,48.9,49.2,3.0,-31.4,watch,213538.29,159211.15
30,443060,HD현대마린솔루션,206500.0,38.8,6.7,0.0,0.0,35.9,67.6,53.9,-1.4,-28.0,watch,182926.39,153459.38
