stop_pct,target_pct,rsi_low,pullback_touch,max_hold,train_trades,train_winrate,train_expect,test_trades,test_winrate,test_expect,test_payoff,train_score,test_score
0.04,0.08,35,0.015,10,259,32.4,-0.52,333,29.4,-0.8,1.76,-0.08441857418691384,-0.14572040714717638
0.04,0.08,35,0.015,15,259,32.0,-0.42,333,29.7,-0.79,1.75,-0.06734611342472531,-0.14393217541973957
0.04,0.08,35,0.015,20,259,32.0,-0.39,333,29.7,-0.8,1.74,-0.06218635238135548,-0.14529988746054942
0.04,0.08,35,0.02,10,271,31.7,-0.61,348,28.7,-0.88,1.76,-0.09965864658739297,-0.1646576106750344
0.04,0.08,35,0.02,15,271,31.4,-0.5,348,29.0,-0.87,1.75,-0.0829684535450352,-0.16290834291955356
0.04,0.08,35,0.02,20,271,31.4,-0.47,348,29.0,-0.88,1.74,-0.07792422418256344,-0.1642462537367388
0.04,0.08,35,0.03,10,297,31.0,-0.7,376,27.7,-1.02,1.75,-0.1199186302568354,-0.19684321849879918
0.04,0.08,35,0.03,15,297,30.6,-0.61,376,28.5,-0.95,1.75,-0.10521503171355447,-0.18418356389907745
0.04,0.08,35,0.03,20,297,30.6,-0.58,376,28.5,-0.96,1.74,-0.10039664950451094,-0.1854706952380027
0.04,0.08,40,0.015,10,259,32.4,-0.52,333,29.4,-0.8,1.76,-0.08441857418691384,-0.14572040714717638
0.04,0.08,40,0.015,15,259,32.0,-0.42,333,29.7,-0.79,1.75,-0.06734611342472531,-0.14393217541973957
0.04,0.08,40,0.015,20,259,32.0,-0.39,333,29.7,-0.8,1.74,-0.06218635238135548,-0.14529988746054942
0.04,0.08,40,0.02,10,271,31.7,-0.61,348,28.7,-0.88,1.76,-0.09965864658739297,-0.1646576106750344
0.04,0.08,40,0.02,15,271,31.4,-0.5,348,29.0,-0.87,1.75,-0.0829684535450352,-0.16290834291955356
0.04,0.08,40,0.02,20,271,31.4,-0.47,348,29.0,-0.88,1.74,-0.07792422418256344,-0.1642462537367388
0.04,0.08,40,0.03,10,297,31.0,-0.7,376,27.7,-1.02,1.75,-0.1199186302568354,-0.19684321849879918
0.04,0.08,40,0.03,15,297,30.6,-0.61,376,28.5,-0.95,1.75,-0.10521503171355447,-0.18418356389907745
0.04,0.08,40,0.03,20,297,30.6,-0.58,376,28.5,-0.96,1.74,-0.10039664950451094,-0.1854706952380027
0.04,0.08,45,0.015,10,259,32.4,-0.52,333,29.4,-0.8,1.76,-0.08441857418691384,-0.14572040714717638
0.04,0.08,45,0.015,15,259,32.0,-0.42,333,29.7,-0.79,1.75,-0.06734611342472531,-0.14393217541973957
0.04,0.08,45,0.015,20,259,32.0,-0.39,333,29.7,-0.8,1.74,-0.06218635238135548,-0.14529988746054942
0.04,0.08,45,0.02,10,271,31.7,-0.61,348,28.7,-0.88,1.76,-0.09965864658739297,-0.1646576106750344
